Data,open,high,low,close,vol,avg_temp_leba,short_size
2013-01-04,6.62,6.75,6.58,6.64,156712.0,5.4,0.0
2013-01-07,6.64,6.8,6.6,6.7,262704.0,-2.6,0.0
2013-01-08,6.6,6.75,6.6,6.7,184512.0,-3.4,0.0
2013-01-09,6.73,6.87,6.65,6.67,274169.0,-3.4,0.0
2013-01-10,6.67,6.7,6.58,6.66,200359.0,0.6,0.0
2013-01-11,6.73,6.74,6.5,6.5,152281.0,-0.8,0.0
2013-01-14,6.56,6.58,6.32,6.33,263767.0,-6.8,0.0
2013-01-15,6.32,6.35,6.22,6.23,293195.0,-3.7,0.0
2013-01-16,6.22,6.49,6.1,6.49,452154.0,-1.8,0.0
2013-01-17,6.46,6.66,6.37,6.55,210367.0,-5.0,0.0
2013-01-18,6.59,6.71,6.5,6.7,304743.0,-7.1,0.0
2013-01-21,6.7,6.75,6.62,6.69,63303.0,-9.4,0.0
2013-01-22,6.7,6.71,6.6,6.67,218759.0,-8.3,0.0
2013-01-23,6.68,6.68,6.57,6.65,77851.0,-8.9,0.0
2013-01-24,6.61,6.68,6.59,6.66,67979.0,-7.3,0.0
2013-01-25,6.68,6.69,6.59,6.62,85834.0,-7.3,0.0
2013-01-28,6.62,6.67,6.61,6.63,99520.0,-6.2,0.0
2013-01-29,6.64,6.65,6.61,6.63,77821.0,1.0,0.0
2013-01-30,6.63,6.69,6.33,6.62,173756.0,4.1,0.0
2013-01-31,6.54,6.79,6.5,6.72,107492.0,4.1,0.0
2013-02-01,6.72,6.78,6.68,6.75,121475.0,3.5,0.0
2013-02-04,6.8,7.15,6.8,7.0,997336.0,0.3,0.0
2013-02-05,7.06,7.2,7.05,7.06,899225.0,3.4,0.0
2013-02-06,7.12,7.14,6.83,6.88,304485.0,0.4,0.0
2013-02-07,6.88,7.07,6.78,6.96,196879.0,-1.1,0.0
2013-02-08,6.96,7.04,6.86,6.95,78888.0,-1.9,0.0
2013-02-11,6.9,7.15,6.9,7.15,358463.0,-1.7,0.0
2013-02-12,7.1,7.39,7.08,7.33,504339.0,-3.0,0.0
2013-02-13,7.39,7.52,7.28,7.28,440521.0,-0.2,0.0
2013-02-14,7.24,7.31,7.11,7.16,263861.0,0.8,0.0
2013-02-15,7.2,7.35,7.15,7.32,91310.0,0.6,0.0
2013-02-18,7.35,7.48,7.34,7.43,132794.0,-3.0,0.0
2013-02-19,7.43,7.45,7.3,7.35,150275.0,-1.3,0.0
2013-02-20,7.35,7.4,7.2,7.2,229168.0,-2.7,0.0
2013-02-21,7.05,7.19,7.02,7.18,307547.0,-3.9,0.0
2013-02-22,7.18,7.38,7.15,7.34,71356.0,-3.9,0.0
2013-02-25,7.35,7.42,7.31,7.35,124730.0,1.6,0.0
2013-02-26,7.2,7.25,7.05,7.21,146970.0,2.4,0.0
2013-02-27,7.33,7.33,7.24,7.28,62431.0,3.1,0.0
2013-02-28,7.3,7.34,7.24,7.33,70579.0,1.3,0.0
2013-03-01,7.34,7.34,7.22,7.25,49615.0,2.6,0.0
2013-03-04,7.25,7.35,7.21,7.31,108923.0,0.9,0.0
2013-03-05,7.26,7.74,7.26,7.6,489128.0,3.3,0.0
2013-03-06,7.61,7.65,7.56,7.64,134076.0,5.9,0.0
2013-03-07,7.69,7.84,7.59,7.73,180520.0,4.3,0.0
2013-03-08,7.74,7.83,7.65,7.7,202884.0,-0.8,0.0
2013-03-11,7.75,7.89,7.58,7.7,173694.0,-4.2,0.0
2013-03-12,7.7,7.78,7.65,7.7,138804.0,-4.5,0.0
2013-03-13,7.63,7.69,7.32,7.51,181312.0,-5.2,0.0
2013-03-14,7.42,7.7,7.42,7.7,134836.0,-5.9,0.0
2013-03-15,7.78,7.78,7.62,7.64,101295.0,-4.4,0.0
2013-03-18,7.46,7.64,7.46,7.64,70335.0,-2.3,0.0
2013-03-19,7.56,7.64,7.24,7.39,292249.0,-1.6,0.0
2013-03-20,7.32,7.5,7.25,7.27,316102.0,-1.1,0.0
2013-03-21,7.27,7.27,6.87,7.12,998464.0,-2.9,0.0
2013-03-22,7.02,7.02,6.65,6.98,203171.0,-3.9,0.0
2013-03-25,7.0,7.18,6.82,6.94,117790.0,-3.7,0.0
2013-03-26,6.9,6.93,6.57,6.85,172471.0,-3.0,0.0
2013-03-27,6.73,6.9,6.65,6.85,96305.0,-1.4,0.0
2013-03-28,6.85,6.87,6.7,6.87,142117.0,-0.1,0.0
2013-04-02,6.8,6.86,6.61,6.72,65403.0,0.1,0.0
2013-04-03,6.6,6.65,6.31,6.53,309231.0,-0.4,0.0
2013-04-04,6.34,6.53,6.34,6.5,85053.0,0.3,0.0
2013-04-05,6.53,6.93,6.43,6.81,111317.0,0.8,0.0
2013-04-08,6.97,7.06,6.88,6.9,201785.0,2.6,0.0
2013-04-09,6.92,6.93,6.65,6.73,52654.0,1.9,0.0
2013-04-10,6.85,6.92,6.68,6.9,96558.0,3.2,0.0
2013-04-11,6.9,6.92,6.85,6.92,66868.0,7.4,0.0
2013-04-12,6.95,6.95,6.89,6.92,35502.0,10.4,0.0
2013-04-15,6.97,6.97,6.82,6.88,31497.0,7.1,0.0
2013-04-17,6.88,6.88,6.69,6.75,114927.0,12.9,0.0
2013-04-18,6.75,6.75,6.34,6.66,160769.0,16.2,0.0
2013-04-19,6.63,6.7,6.63,6.66,74575.0,11.6,0.0
2013-04-22,6.66,6.75,6.65,6.65,33558.0,11.4,0.0
2013-04-23,6.65,6.7,6.56,6.56,78896.0,14.2,0.0
2013-04-24,6.7,6.72,6.51,6.72,95696.0,12.7,0.0
2013-04-25,6.7,6.9,6.7,6.8,39230.0,13.2,0.0
